场景,数据开始时间,数据结束时间,碰撞风险,泊入结果,备注,问题
,15:05:51,15:06:19,,,,停车有顿挫感
,15:12:39,15:13:16,,,,最后一段轨迹，中途点刹
斜坡库位,15:35:10,15:38:23,,失败,,入库后没有到库底，卡死
,15:42:13,15:44:41,,成功,,后退过程中，多次向前溜车；未停到库位底，报泊车完成
,15:45:25,15:47:09,,失败,,卡死
,15:50:48,15:51:42,,成功,,最后一段轨迹动力输出不线性
斜坡斜列库位,15:53:05,15:53:53,,失败,,左后轮挤压，人工接管
斜坡库位，入库口带T坎,15:56:36,15:59:12,,失败,,"倒车入库动力输出不线性；溜车1M,有顿挫感；功能退出报大红手"
,15:59:48,16:01:30,,成功,,溜车超过1m，
,16:04:57,16:06:01,,成功,,欠停，报泊车完成
,16:06:55,16:07:16,,成功,,欠停，报泊车完成
斜坡库位,16:09:47,16:12:55,,成功,,上坡溜车且增扭慢，反复多次溜破
库位前斜坡,17:16:32,17:18:36,,失败,,前轮坡道处增扭慢且溜车急刹，随后卡死
,17:21:00,17:22:36,,成功,,溜车急刹
,17:23:45,17:24:22,,失败,,倒车过程中遇行人，卡死
,17:24:49,17:25:49,,失败,,倒车过程中坡道处溜车；未闭环
斜坡库位,17:50:49,17:52:26,,成功,,停入一半，功能退出
,20:26:37,20:28:51,,失败,,前轮台阶处卡死
