vehicle_id,date,time,full_record_name,,,,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-26-41.00052,标准存储,2025-02-06 00:08:55,911.96MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-27-41.00053,标准存储,2025-02-06 00:09:35,952.02MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-28-41.00054,标准存储,2025-02-06 00:09:11,947.79MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-29-41.00055,标准存储,2025-02-06 00:09:46,902.21MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-30-41.00056,标准存储,2025-02-06 00:10:23,947.38MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-31-41.00057,标准存储,2025-02-06 00:09:55,954.3MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-32-41.00058,标准存储,2025-02-06 00:09:56,899.81MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-33-41.00059,标准存储,2025-02-06 00:10:47,899.33MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-34-41.00060,标准存储,2025-02-06 00:10:14,958.99MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-35-41.00061,标准存储,2025-02-06 00:10:47,964.16MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-36-41.00062,标准存储,2025-02-06 00:09:07,1022.83MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-37-41.00063,标准存储,2025-02-06 00:08:29,1006.5MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-38-41.00064,标准存储,2025-02-06 00:10:13,911.99MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-39-41.00065,标准存储,2025-02-06 00:10:49,952.1MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-40-41.00066,标准存储,2025-02-06 00:10:23,933.13MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-41-41.00067,标准存储,2025-02-06 00:09:56,960.24MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-42-41.00068,标准存储,2025-02-06 00:09:56,1002.23MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-43-41.00069,标准存储,2025-02-06 00:10:49,1020.35MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-44-41.00070,标准存储,2025-02-06 00:08:56,966.17MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-45-41.00071,标准存储,2025-02-06 00:09:16,978.96MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-46-41.00072,标准存储,2025-02-06 00:10:34,940.29MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-47-41.00073,标准存储,2025-02-06 00:09:46,918.05MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-48-41.00074,标准存储,2025-02-06 00:09:57,959.47MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-49-41.00075,标准存储,2025-02-06 00:09:36,1000.73MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-50-41.00076,标准存储,2025-02-06 00:09:07,980.65MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-51-41.00077,标准存储,2025-02-06 00:09:36,942.37MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-52-41.00078,标准存储,2025-02-06 00:09:11,963.78MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-53-41.00079,标准存储,2025-02-06 00:08:28,918.68MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-54-41.00080,标准存储,2025-02-06 00:08:29,931.48MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-55-41.00081,标准存储,2025-02-06 00:09:07,973.48MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-56-41.00082,标准存储,2025-02-06 00:10:49,947.33MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-57-41.00083,标准存储,2025-02-06 00:10:13,922.19MB,
