start_time,end_time,weight_gt
9/10/2023 7:55:00,9/10/2023 19:15:00,38.15
9/11/2023 4:52:00,9/11/2023 9:40:00,41.1
9/11/2023 10:16:00,9/11/2023 16:34:00,40
9/12/2023 7:46:00,9/12/2023 19:19:00,38.7
9/13/2023 4:41:00,9/13/2023 9:30:00,40.5
9/13/2023 10:42:00,9/13/2023 16:56:00,38.9
9/14/2023 5:52:00,9/14/2023 17:23:00,40
9/15/2023 4:58:00,9/15/2023 9:48:00,42.64
9/15/2023 10:14:00,9/15/2023 16:41:00,40.9
9/16/2023 7:39:00,9/16/2023 18:38:00,38.98
9/17/2023 1:05:00,9/17/2023 5:55:00,43.5
9/17/2023 7:21:00,9/17/2023 13:50:00,41.5
9/18/2023 7:04:00,9/18/2023 18:30:00,38.9
9/19/2023 4:53:00,9/19/2023 9:42:00,42.1
9/19/2023 10:16:00,9/19/2023 16:48:00,40.6
9/20/2023 5:42:00,9/20/2023 17:17:00,39.2
9/21/2023 5:04:00,9/21/2023 10:01:00,41.74
9/21/2023 10:43:00,9/21/2023 17:20:00,41.74
9/22/2023 4:08:00,9/22/2023 15:31:00,39.37
9/23/2023 2:30:00,9/23/2023 14:15:00,43.56
9/24/2023 4:45:00,9/24/2023 16:21:00,40.85
9/25/2023 3:10:00,9/25/2023 14:29:00,41.7
9/26/2023 6:30:00,9/26/2023 18:02:00,40.2
9/27/2023 3:55:00,9/27/2023 15:18:00,43.7
9/28/2023 6:48:00,9/28/2023 19:27:00,40.23
9/29/2023 5:11:00,9/29/2023 17:02:00,37.54
9/30/2023 5:33:00,9/30/2023 18:52:00,40.42
10/1/2023 3:47:00,10/1/2023 15:10:00,42.5
10/2/2023 5:18:00,10/2/2023 17:16:00,38
10/3/2023 5:00:00,10/3/2023 19:17:00,41.98
10/4/2023 7:22:00,10/4/2023 18:35:00,36.2
10/5/2023 2:40:00,10/5/2023 15:06:00,40.14
10/6/2023 4:09:00,10/6/2023 15:30:00,39.6
10/7/2023 2:32:00,10/7/2023 13:48:00,41.9
10/8/2023 4:10:00,10/8/2023 15:33:00,39
10/9/2023 5:02:00,10/9/2023 9:44:00,41.94
10/9/2023 10:21:00,10/9/2023 17:09:00,39.86
10/10/2023 5:01:00,10/10/2023 16:09:00,39.81
10/11/2023 4:58:00,10/11/2023 9:50:00,39.4
10/11/2023 10:24:00,10/11/2023 16:54:00,39.4
10/12/2023 4:23:00,10/12/2023 15:48:00,38.4
10/13/2023 4:57:00,10/13/2023 9:45:00,38.3
10/13/2023 10:52:00,10/13/2023 17:13:00,36.2
10/14/2023 7:04:00,10/14/2023 18:37:00,39.3
10/15/2023 4:54:00,10/15/2023 9:35:00,38.2
10/15/2023 10:03:00,10/15/2023 16:20:00,38.2
10/16/2023 7:35:00,10/16/2023 18:50:00,38.38
10/17/2023 4:41:00,10/17/2023 9:29:00,38.9
10/17/2023 10:39:00,10/17/2023 17:08:00,38.9
10/18/2023 6:04:00,10/18/2023 17:34:00,40.86
10/19/2023 5:00:00,10/19/2023 9:48:00,40.1
10/19/2023 10:32:00,10/19/2023 17:50:00,38.2
10/20/2023 4:35:00,10/20/2023 16:03:00,38.5
10/21/2023 4:57:00,10/21/2023 9:47:00,41.78
10/21/2023 10:17:00,10/21/2023 16:44:00,41.78
10/22/2023 7:02:00,10/22/2023 18:19:00,38.87
10/23/2023 4:05:00,10/23/2023 8:54:00,38.6
10/23/2023 9:21:00,10/23/2023 15:58:00,38.6
10/24/2023 7:16:00,10/24/2023 18:39:00,39.14
10/25/2023 4:14:00,10/25/2023 9:01:00,39.9
10/25/2023 10:00:00,10/25/2023 16:16:00,37
10/26/2023 4:19:00,10/26/2023 15:32:00,37.7
10/27/2023 4:14:00,10/27/2023 9:01:00,36.54
10/27/2023 10:04:00,10/27/2023 16:20:00,36.54
10/28/2023 6:52:00,10/28/2023 18:20:00,38.76
10/29/2023 4:32:00,10/29/2023 9:17:00,37.07
10/29/2023 9:38:00,10/29/2023 15:58:00,35.8
10/30/2023 6:52:00,10/30/2023 18:19:00,42.9
10/31/2023 5:04:00,10/31/2023 9:46:00,39.2
10/31/2023 10:18:00,10/31/2023 16:27:00,36.5
11/1/2023 6:18:00,11/1/2023 17:39:00,38.3
11/1/2023 21:05:00,11/2/2023 8:03:00,38.08
11/3/2023 3:26:00,11/3/2023 13:39:00,37.65
11/4/2023 5:17:00,11/4/2023 9:50:00,38.7
11/4/2023 11:00:00,11/4/2023 17:20:00,38.7
11/5/2023 3:18:00,11/5/2023 17:32:00,38.1
11/6/2023 5:03:00,11/6/2023 9:46:00,39.9
11/6/2023 10:33:00,11/6/2023 16:54:00,38
11/7/2023 3:17:00,11/7/2023 14:42:00,38.4
