start_time,end_time,weight_gt
9/11/2023 0:49:00,9/11/2023 8:57:00,30.34
9/11/2023 22:00:00,9/12/2023 7:14:00,33.2
9/13/2023 0:50:00,9/13/2023 9:00:00,30.22
9/13/2023 21:55:00,9/14/2023 6:19:00,33.7
9/15/2023 0:50:00,9/15/2023 9:18:00,32.22
9/15/2023 22:05:00,9/16/2023 6:25:00,33
9/17/2023 0:50:00,9/17/2023 9:17:00,31.26
9/17/2023 22:10:00,9/18/2023 6:24:00,33.2
9/19/2023 0:51:00,9/19/2023 8:58:00,32.23
9/19/2023 22:10:00,9/20/2023 7:04:00,34.2
9/21/2023 0:35:00,9/21/2023 8:48:00,31.94
9/21/2023 21:37:00,9/22/2023 5:55:00,33.5
9/23/2023 0:35:00,9/23/2023 8:46:00,32.24
9/23/2023 21:41:00,9/24/2023 6:07:00,34
9/25/2023 0:14:00,9/25/2023 8:26:00,31.64
9/25/2023 21:22:00,9/26/2023 5:47:00,35.05
9/27/2023 0:10:00,9/27/2023 9:03:00,33.44
9/27/2023 21:27:00,9/28/2023 5:43:00,34.3
9/29/2023 0:21:00,9/30/2023 0:44:00,32.6
9/30/2023 1:59:00,9/30/2023 11:02:00,31
10/1/2023 0:45:00,10/1/2023 8:54:00,30.02
10/1/2023 22:24:00,10/2/2023 6:46:00,32.6
10/3/2023 0:48:00,10/3/2023 9:02:00,30.54
10/3/2023 21:18:00,10/4/2023 6:00:00,33.9
10/5/2023 0:45:00,10/5/2023 8:57:00,32.66
10/5/2023 22:50:00,10/6/2023 7:34:00,32.6
10/7/2023 0:43:00,10/7/2023 8:56:00,31.48
10/7/2023 21:40:00,10/8/2023 5:50:00,32.9
10/8/2023 23:40:00,10/9/2023 7:51:00,32.76
10/9/2023 21:58:00,10/10/2023 6:04:00,33.7
10/11/2023 0:05:00,10/11/2023 8:16:00,30.76
10/11/2023 22:05:00,10/12/2023 6:24:00,33.9
10/12/2023 23:41:00,10/13/2023 7:51:00,31
10/13/2023 21:15:00,10/14/2023 5:27:00,32.6
10/15/2023 0:03:00,10/15/2023 8:16:00,31
10/15/2023 21:40:00,10/16/2023 5:57:00,31.6
10/16/2023 23:40:00,10/17/2023 7:59:00,30
10/17/2023 21:48:00,10/18/2023 6:09:00,32
10/18/2023 23:45:00,10/19/2023 8:00:00,30.66
10/19/2023 21:53:00,10/20/2023 6:10:00,33.6
10/21/2023 0:11:00,10/21/2023 8:30:00,31.64
10/21/2023 21:19:00,10/22/2023 5:36:00,31.5
10/23/2023 0:50:00,10/23/2023 9:05:00,29
10/23/2023 21:20:00,10/24/2023 6:40:00,32
10/24/2023 23:43:00,10/25/2023 8:22:00,30
10/25/2023 22:46:00,10/26/2023 6:36:00,34
10/26/2023 23:43:00,10/27/2023 13:03:00,29
10/27/2023 22:10:00,10/28/2023 6:22:00,32
10/29/2023 0:44:00,10/29/2023 8:53:00,30
10/29/2023 23:43:00,10/30/2023 7:52:00,32
10/31/2023 0:35:00,10/31/2023 8:50:00,31.14
10/31/2023 23:45:00,11/1/2023 8:01:00,32
11/1/2023 18:30:00,11/2/2023 2:55:00,32
11/2/2023 20:35:00,11/3/2023 4:55:00,30
11/3/2023 22:34:00,11/4/2023 6:56:00,28
11/4/2023 20:35:00,11/5/2023 5:05:00,31
11/5/2023 23:30:00,11/6/2023 7:45:00,30
11/6/2023 21:50:00,11/7/2023 6:06:00,31
11/7/2023 23:44:00,11/8/2023 8:01:00,29
11/8/2023 21:33:00,11/9/2023 5:55:00,31
11/9/2023 23:42:00,11/10/2023 8:01:00,30
11/10/2023 21:32:00,11/11/2023 5:50:00,31
11/11/2023 20:36:00,11/12/2023 4:50:00,31
11/12/2023 20:32:00,11/13/2023 4:37:00,29
11/13/2023 23:35:00,11/14/2023 7:55:00,29
11/14/2023 21:21:00,11/15/2023 5:37:00,29
11/15/2023 23:49:00,11/16/2023 8:06:00,29
11/16/2023 20:37:00,11/17/2023 4:52:00,31
