start_time,end_time,weight_gt
9/10/2023 0:00:00,9/11/2023 0:00:00,23
9/11/2023 0:00:00,9/12/2023 0:00:00,20.8
9/12/2023 0:00:00,9/13/2023 0:00:00,23.5
9/13/2023 0:00:00,9/14/2023 0:00:00,20.5
9/14/2023 0:00:00,9/15/2023 0:00:00,24
9/15/2023 0:00:00,9/16/2023 0:00:00,20.5
9/16/2023 0:00:00,9/17/2023 0:00:00,24
9/17/2023 0:00:00,9/18/2023 0:00:00,22.4
9/18/2023 0:00:00,9/19/2023 0:00:00,24
9/19/2023 0:00:00,9/20/2023 0:00:00,22.2
9/20/2023 0:00:00,9/21/2023 0:00:00,24
9/21/2023 0:00:00,9/22/2023 0:00:00,21.2
9/22/2023 0:00:00,9/23/2023 0:00:00,24
9/23/2023 0:00:00,9/24/2023 0:00:00,22.5
9/24/2023 0:00:00,9/25/2023 0:00:00,24
9/25/2023 0:00:00,9/26/2023 0:00:00,20.82
9/26/2023 0:00:00,9/27/2023 0:00:00,22
9/27/2023 0:00:00,9/28/2023 0:00:00,22
9/28/2023 0:00:00,9/29/2023 0:00:00,23
9/29/2023 0:00:00,9/30/2023 0:00:00,21.5
9/30/2023 0:00:00,10/1/2023 0:00:00,20.1
10/1/2023 0:00:00,10/2/2023 0:00:00,19.6
10/2/2023 0:00:00,10/3/2023 0:00:00,20
10/3/2023 0:00:00,10/4/2023 0:00:00,19.5
10/4/2023 0:00:00,10/5/2023 0:00:00,21.5
10/5/2023 0:00:00,10/6/2023 0:00:00,21
10/6/2023 0:00:00,10/7/2023 0:00:00,22.8
10/7/2023 0:00:00,10/8/2023 0:00:00,21
10/8/2023 0:00:00,10/9/2023 0:00:00,22.2
10/9/2023 0:00:00,10/10/2023 0:00:00,23.6
10/10/2023 0:00:00,10/11/2023 0:00:00,24.2
10/11/2023 0:00:00,10/12/2023 0:00:00,23.4
10/12/2023 0:00:00,10/13/2023 0:00:00,24.5
10/13/2023 0:00:00,10/14/2023 0:00:00,23
10/14/2023 0:00:00,10/15/2023 0:00:00,24.2
10/15/2023 0:00:00,10/16/2023 0:00:00,22.4
10/16/2023 0:00:00,10/17/2023 0:00:00,23.2
10/17/2023 0:00:00,10/18/2023 0:00:00,22.18
10/18/2023 0:00:00,10/19/2023 0:00:00,24
10/19/2023 0:00:00,10/20/2023 0:00:00,21.2
10/20/2023 0:00:00,10/21/2023 0:00:00,23.5
10/21/2023 0:00:00,10/22/2023 0:00:00,18
10/22/2023 0:00:00,10/23/2023 0:00:00,23.8
10/23/2023 0:00:00,10/24/2023 0:00:00,21.7
10/24/2023 0:00:00,10/25/2023 0:00:00,24.8
10/25/2023 0:00:00,10/26/2023 0:00:00,22.4
10/26/2023 0:00:00,10/27/2023 0:00:00,24.4
10/27/2023 0:00:00,10/28/2023 0:00:00,23.3
10/28/2023 0:00:00,10/29/2023 0:00:00,23.4
10/29/2023 0:00:00,10/30/2023 0:00:00,24.2
10/30/2023 0:00:00,10/31/2023 0:00:00,23.8
10/31/2023 0:00:00,11/1/2023 0:00:00,23.6
11/1/2023 0:00:00,11/2/2023 0:00:00,23.4
11/2/2023 2:30:00,11/2/2023 10:05:00,27
11/2/2023 23:46:00,11/3/2023 6:15:00,30
11/4/2023 1:27:00,11/4/2023 10:35:00,28
11/5/2023 0:05:00,11/5/2023 6:36:00,30
11/6/2023 2:03:00,11/6/2023 10:35:00,24
11/6/2023 23:54:00,11/7/2023 6:26:00,26
11/8/2023 2:07:00,11/8/2023 9:40:00,24.6
11/8/2023 23:47:00,11/9/2023 6:24:00,25.7
11/10/2023 2:04:00,11/10/2023 9:36:00,24.3
11/10/2023 23:57:00,11/11/2023 6:25:00,27.8
11/12/2023 2:10:00,11/12/2023 9:40:00,24.8
11/13/2023 0:50:00,11/13/2023 7:25:00,31.2
11/14/2023 2:17:00,11/14/2023 9:55:00,23.5
11/15/2023 0:38:00,11/15/2023 7:11:00,24.5
11/16/2023 2:05:00,11/16/2023 9:48:00,23.8
11/17/2023 0:03:00,11/17/2023 6:30:00,28.2
11/18/2023 2:02:00,11/18/2023 9:47:00,28
11/19/2023 0:05:00,11/19/2023 6:29:00,28
