start_time,end_time,weight_gt
9/10/2023 0:00:00,9/11/2023 0:00:00,32.88
9/11/2023 0:00:00,9/12/2023 0:00:00,37.8
9/12/2023 0:00:00,9/13/2023 0:00:00,
9/13/2023 0:00:00,9/14/2023 0:00:00,32.8
9/14/2023 0:00:00,9/15/2023 0:00:00,34.91
9/15/2023 0:00:00,9/16/2023 0:00:00,37.25
9/16/2023 0:00:00,9/17/2023 0:00:00,34.85
9/17/2023 0:00:00,9/18/2023 0:00:00,36.24
9/18/2023 0:00:00,9/19/2023 0:00:00,34.5
9/19/2023 0:00:00,9/20/2023 0:00:00,37.38
9/20/2023 0:00:00,9/21/2023 0:00:00,33.2
9/21/2023 0:00:00,9/22/2023 0:00:00,35.56
9/22/2023 0:00:00,9/23/2023 0:00:00,39.15
9/23/2023 0:00:00,9/24/2023 0:00:00,33.94
9/24/2023 0:00:00,9/25/2023 0:00:00,34.7
9/25/2023 0:00:00,9/26/2023 0:00:00,38.16
9/26/2023 0:00:00,9/27/2023 0:00:00,36.5
9/27/2023 0:00:00,9/28/2023 0:00:00,34.82
9/28/2023 0:00:00,9/29/2023 0:00:00,34.25
9/29/2023 0:00:00,9/30/2023 0:00:00,33.8
9/30/2023 0:00:00,10/1/2023 0:00:00,36.6
10/1/2023 0:00:00,10/2/2023 0:00:00,
10/2/2023 0:00:00,10/3/2023 0:00:00,
10/3/2023 0:00:00,10/4/2023 0:00:00,
10/4/2023 0:00:00,10/5/2023 0:00:00,41
10/5/2023 0:00:00,10/6/2023 0:00:00,36.2
10/6/2023 0:00:00,10/7/2023 0:00:00,
10/7/2023 0:00:00,10/8/2023 0:00:00,39.18
10/8/2023 0:00:00,10/9/2023 0:00:00,37.85
10/9/2023 0:00:00,10/10/2023 0:00:00,40.02
10/10/2023 0:00:00,10/11/2023 0:00:00,34.2
10/11/2023 0:00:00,10/12/2023 0:00:00,25
10/12/2023 0:00:00,10/13/2023 0:00:00,34.9
10/13/2023 0:00:00,10/14/2023 0:00:00,37.2
10/14/2023 0:00:00,10/15/2023 0:00:00,35.25
10/15/2023 0:00:00,10/16/2023 0:00:00,38.6
10/16/2023 0:00:00,10/17/2023 0:00:00,30.96
10/17/2023 0:00:00,10/18/2023 0:00:00,36.28
10/18/2023 0:00:00,10/19/2023 0:00:00,32.6
10/19/2023 0:00:00,10/20/2023 0:00:00,34
10/20/2023 0:00:00,10/21/2023 0:00:00,40.62
10/21/2023 0:00:00,10/22/2023 0:00:00,35.62
10/22/2023 0:00:00,10/23/2023 0:00:00,32.15
10/23/2023 0:00:00,10/24/2023 0:00:00,40.3
10/24/2023 0:00:00,10/25/2023 0:00:00,34.45
10/25/2023 0:00:00,10/26/2023 0:00:00,31.02
10/26/2023 0:00:00,10/27/2023 0:00:00,34.35
10/27/2023 0:00:00,10/28/2023 0:00:00,37.66
10/28/2023 0:00:00,10/29/2023 0:00:00,31.7
10/29/2023 0:00:00,10/30/2023 0:00:00,36.34
10/30/2023 0:00:00,10/31/2023 0:00:00,29.85
10/31/2023 0:00:00,11/1/2023 0:00:00,41.74
11/1/2023 0:00:00,11/2/2023 0:00:00,30.69
11/2/2023 0:00:00,11/3/2023 0:00:00,41.18
11/3/2023 0:00:00,11/4/2023 0:00:00,30.9
11/4/2023 0:00:00,11/5/2023 0:00:00,33.9
11/5/2023 0:00:00,11/6/2023 0:00:00,25.05
11/6/2023 0:00:00,11/7/2023 0:00:00,35.98
11/7/2023 0:00:00,11/8/2023 0:00:00,42.12
11/8/2023 0:00:00,11/9/2023 0:00:00,39.06
11/9/2023 0:00:00,11/10/2023 0:00:00,33.1
11/10/2023 0:00:00,11/11/2023 0:00:00,38
11/11/2023 0:00:00,11/12/2023 0:00:00,35.15
11/12/2023 0:00:00,11/13/2023 0:00:00,35.75
11/13/2023 0:00:00,11/14/2023 0:00:00,37.08
11/14/2023 0:00:00,11/15/2023 0:00:00,37.72
11/15/2023 0:00:00,11/16/2023 0:00:00,31.75
11/16/2023 0:00:00,11/17/2023 0:00:00,37.86
11/17/2023 0:00:00,11/18/2023 0:00:00,30.3
11/18/2023 0:00:00,11/19/2023 0:00:00,36.65
11/19/2023 0:00:00,11/20/2023 0:00:00,32.7
