start_time,end_time,weight_gt
9/10/2023 1:07:00,9/10/2023 11:48:00,41.7
9/11/2023 7:49:00,9/11/2023 19:22:00,36.1
9/12/2023 5:11:00,9/12/2023 9:51:00,40.06
9/12/2023 10:14:00,9/12/2023 16:16:00,38.74
9/13/2023 5:44:00,9/13/2023 17:09:00,39.73
9/14/2023 4:28:00,9/14/2023 9:15:00,42.8
9/14/2023 9:45:00,9/14/2023 16:06:00,42.8
9/15/2023 5:10:00,9/15/2023 16:39:00,39.8
9/16/2023 3:26:00,9/16/2023 8:09:00,42.8
9/16/2023 9:05:00,9/16/2023 15:24:00,42.8
9/17/2023 7:32:00,9/17/2023 18:58:00,37.8
9/18/2023 3:57:00,9/18/2023 8:33:00,42.58
9/18/2023 9:56:00,9/18/2023 16:10:00,42.58
9/19/2023 7:14:00,9/19/2023 18:40:00,39.97
9/20/2023 4:38:00,9/20/2023 9:43:00,42.2
9/20/2023 10:43:00,9/20/2023 17:28:00,42.2
9/21/2023 5:23:00,9/21/2023 17:06:00,43.56
9/22/2023 1:30:00,9/22/2023 13:02:00,42.5
9/23/2023 3:43:00,9/23/2023 15:15:00,40.3
9/24/2023 3:13:00,9/24/2023 14:34:00,35.25
9/25/2023 5:15:00,9/25/2023 16:05:00,40.94
9/26/2023 3:18:00,9/26/2023 14:49:00,42.56
9/27/2023 7:30:00,9/27/2023 21:53:00,40.8
9/28/2023 2:17:00,9/28/2023 13:22:00,42.5
9/29/2023 4:45:00,9/30/2023 3:59:00,40
9/30/2023 5:02:00,9/30/2023 16:28:00,42.68
10/1/2023 4:25:00,10/1/2023 15:53:00,38.52
10/2/2023 4:12:00,10/2/2023 15:32:00,38.9
10/3/2023 4:42:00,10/3/2023 16:18:00,40.15
10/4/2023 4:15:00,10/4/2023 18:15:00,43
10/5/2023 3:37:00,10/5/2023 15:02:00,39.3
10/6/2023 3:32:00,10/6/2023 18:35:00,41.98
10/7/2023 4:44:00,10/7/2023 16:03:00,38.94
10/8/2023 1:20:00,10/8/2023 12:50:00,43.2
10/9/2023 4:40:00,10/9/2023 16:05:00,39.53
10/10/2023 4:25:00,10/10/2023 9:15:00,38.8
10/10/2023 9:54:00,10/10/2023 16:04:00,37
10/11/2023 5:14:00,10/11/2023 16:36:00,40
10/12/2023 4:03:00,10/12/2023 8:39:00,39.27
10/12/2023 9:21:00,10/12/2023 15:50:00,36.62
10/13/2023 3:51:00,10/13/2023 14:47:00,39.27
10/14/2023 4:32:00,10/14/2023 9:25:00,38.4
10/14/2023 9:56:00,10/14/2023 16:19:00,37.75
10/15/2023 7:26:00,10/15/2023 18:43:00,37.7
10/16/2023 4:44:00,10/16/2023 9:36:00,37.9
10/16/2023 10:19:00,10/16/2023 16:40:00,37.1
10/17/2023 6:13:00,10/17/2023 17:36:00,38.3
10/18/2023 3:55:00,10/18/2023 8:32:00,36.1
10/18/2023 9:44:00,10/18/2023 15:53:00,36.1
10/19/2023 7:19:00,10/19/2023 15:53:00,38.97
10/20/2023 4:18:00,10/20/2023 8:10:00,38.32
10/20/2023 10:36:00,10/20/2023 17:18:00,38.32
10/21/2023 5:00:00,10/21/2023 16:25:00,
10/22/2023 3:14:00,10/22/2023 8:07:00,38.3
10/22/2023 10:05:00,10/22/2023 16:41:00,37.2
10/23/2023 7:14:00,10/23/2023 18:44:00,35.9
10/24/2023 2:32:00,10/24/2023 7:14:00,
10/24/2023 9:50:00,10/24/2023 16:03:00,37.82
10/25/2023 6:42:00,10/25/2023 18:03:00,39.3
10/26/2023 4:58:00,10/26/2023 9:48:00,38.6
10/26/2023 10:34:00,10/26/2023 16:58:00,35.8
10/27/2023 5:08:00,10/27/2023 16:27:00,3903
10/28/2023 4:50:00,10/28/2023 9:40:00,38.4
10/28/2023 10:29:00,10/28/2023 16:51:00,36.3
10/29/2023 6:39:00,10/29/2023 18:00:00,38.1
10/30/2023 4:20:00,10/30/2023 8:39:00,
10/30/2023 9:20:00,10/30/2023 15:28:00,37.42
10/31/2023 7:04:00,10/31/2023 18:13:00,37.43
11/1/2023 5:10:00,11/1/2023 9:50:00,
10/31/2023 10:18:00,10/31/2023 16:27:00,36.5
10/31/2023 11:45:00,10/31/2023 19:30:00,32.6
11/1/2023 7:28:00,11/1/2023 12:37:00,35.34
11/1/2023 14:31:00,11/1/2023 21:28:00,
