start_time,end_time,weight_gt
9/10/2023 4:43:00,9/10/2023 16:16:00,30.2
9/12/2023 6:37:00,9/12/2023 18:07:00,39.12
9/13/2023 5:46:00,9/13/2023 17:11:00,37.36
9/14/2023 7:22:00,9/14/2023 15:30:00,35.78
9/14/2023 17:49:00,9/14/2023 23:06:00,
9/15/2023 5:55:00,9/15/2023 17:28:00,41.45
9/16/2023 6:49:00,9/16/2023 14:45:00,37.24
9/16/2023 17:45:00,9/16/2023 23:09:00,
9/17/2023 3:15:00,9/17/2023 14:47:00,38.15
9/18/2023 7:24:00,9/18/2023 20:54:00,33.04
9/19/2023 6:25:00,9/19/2023 8:55:00,
9/19/2023 10:11:00,9/19/2023 21:43:00,39.5
9/20/2023 7:00:00,9/20/2023 14:59:00,33.7
9/21/2023 0:43:00,9/21/2023 5:29:00,
9/21/2023 7:17:00,9/21/2023 18:52:00,37.85
9/22/2023 6:47:00,9/22/2023 14:42:00,35.8
9/22/2023 17:49:00,9/22/2023 23:07:00,
9/23/2023 4:28:00,9/23/2023 15:37:00,34.1
9/24/2023 6:20:00,9/24/2023 14:28:00,34.62
9/24/2023 16:55:00,9/24/2023 21:35:00,
9/25/2023 2:01:00,9/25/2023 13:15:00,36
9/26/2023 6:31:00,9/26/2023 17:43:00,40.16
9/26/2023 22:40:00,9/27/2023 2:02:00,
9/27/2023 6:30:00,9/27/2023 19:21:00,36.58
9/28/2023 6:44:00,9/28/2023 14:54:00,37.26
9/28/2023 21:10:00,9/29/2023 2:05:00,
9/29/2023 3:41:00,9/30/2023 3:25:00,34.95
9/30/2023 8:54:00,9/30/2023 20:35:00,35.74
9/30/2023 22:40:00,9/30/2023 23:28:00,
10/1/2023 4:21:00,10/1/2023 16:12:00,33.95
10/6/2023 6:36:00,10/6/2023 19:14:00,40.38
10/6/2023 22:13:00,10/6/2023 23:06:00,
10/7/2023 2:25:00,10/7/2023 14:13:00,34.75
10/8/2023 6:40:00,10/8/2023 14:48:00,36.82
10/8/2023 20:09:00,10/9/2023 0:53:00,
10/9/2023 4:47:00,10/9/2023 16:35:00,36
10/10/2023 6:40:00,10/10/2023 18:35:00,32.8
10/11/2023 5:36:00,10/11/2023 10:50:00,
10/11/2023 13:04:00,10/12/2023 0:25:00,33.93
10/12/2023 7:02:00,10/12/2023 18:22:00,32.48
10/13/2023 3:36:00,10/13/2023 4:44:00,
10/13/2023 6:10:00,10/13/2023 18:03:00,34.99
10/14/2023 7:24:00,10/14/2023 13:31:00,33.62
10/14/2023 15:08:00,10/14/2023 21:40:00,
10/15/2023 4:37:00,10/15/2023 15:54:00,28.5
10/16/2023 6:41:00,10/16/2023 20:01:00,34.8
10/17/2023 3:09:00,10/17/2023 5:52:00,
10/17/2023 7:03:00,10/17/2023 18:21:00,30.7
10/18/2023 6:33:00,10/18/2023 18:36:00,32.9
10/18/2023 22:46:00,10/18/2023 23:31:00,
10/19/2023 4:33:00,10/19/2023 15:45:00,32.4
10/20/2023 6:56:00,10/20/2023 18:10:00,31.32
10/21/2023 4:26:00,10/21/2023 15:41:00,32.25
10/22/2023 7:14:00,10/22/2023 19:49:00,35.78
10/22/2023 22:07:00,10/22/2023 22:51:00,
10/23/2023 2:02:00,10/23/2023 2:49:00,28
10/23/2023 6:20:00,10/23/2023 18:25:00,35.33
10/24/2023 6:39:00,10/24/2023 18:38:00,40.44
10/24/2023 23:30:00,10/25/2023 0:17:00,
10/25/2023 5:18:00,10/25/2023 16:33:00,29.1
10/26/2023 7:33:00,10/26/2023 19:31:00,37.32
10/27/2023 0:33:00,10/27/2023 1:26:00,
10/27/2023 4:19:00,10/27/2023 15:35:00,28.95
10/28/2023 6:48:00,10/28/2023 18:46:00,37.92
10/28/2023 21:18:00,10/28/2023 22:07:00,
10/29/2023 3:29:00,10/29/2023 4:14:00,
10/29/2023 7:01:00,10/29/2023 18:42:00,38.48
10/30/2023 6:25:00,10/30/2023 18:34:00,38.4
10/31/2023 0:11:00,10/31/2023 0:57:00,
10/31/2023 5:01:00,10/31/2023 9:59:00,
10/31/2023 11:45:00,10/31/2023 19:30:00,32.6
11/1/2023 7:28:00,11/1/2023 12:37:00,35.34
11/2/2023 5:07:00,11/2/2023 16:15:00,32.8
11/3/2023 7:07:00,11/3/2023 15:04:00,40.44
11/4/2023 3:46:00,11/4/2023 15:01:00,32
11/5/2023 6:24:00,11/5/2023 14:00:00,38.84
11/6/2023 5:55:00,11/6/2023 17:31:00,31.2
11/7/2023 6:47:00,11/7/2023 14:31:00,34.46
11/8/2023 5:10:00,11/8/2023 16:19:00,32.1
11/9/2023 6:48:00,11/9/2023 14:50:00,35.36
11/10/2023 4:05:00,11/10/2023 15:21:00,34.9
11/11/2023 6:24:00,11/11/2023 14:27:00,38.16
11/12/2023 5:06:00,11/12/2023 16:19:00,35.75
11/13/2023 6:19:00,11/13/2023 18:14:00,37.32
11/14/2023 1:28:00,11/14/2023 12:47:00,29.9
11/15/2023 7:02:00,11/15/2023 15:01:00,34.68
11/16/2023 7:46:00,11/16/2023 18:31:00,38.44
11/17/2023 6:22:00,11/17/2023 14:17:00,34.02
11/18/2023 4:36:00,11/18/2023 15:50:00,32.6
11/19/2023 6:56:00,11/19/2023 13:16:00,36.5
