full_record.2025-02-05-20-12-13.00000,标准存储,2025-02-05 23:50:59,902.15MB,
full_record.2025-02-05-20-13-13.00001,标准存储,2025-02-05 23:50:28,935.9MB,
full_record.2025-02-05-20-14-13.00002,标准存储,2025-02-05 23:51:13,912.94MB,
full_record.2025-02-05-20-15-13.00003,标准存储,2025-02-05 23:51:30,865.94MB,
full_record.2025-02-05-20-16-13.00004,标准存储,2025-02-05 23:50:58,846.21MB,
full_record.2025-02-05-20-17-13.00005,标准存储,2025-02-05 23:50:27,876.6MB,
full_record.2025-02-05-20-18-13.00006,标准存储,2025-02-05 23:51:13,862.81MB,
full_record.2025-02-05-20-19-13.00007,标准存储,2025-02-05 23:51:31,862.46MB,
full_record.2025-02-05-20-20-13.00008,标准存储,2025-02-05 23:50:29,899.9MB,
full_record.2025-02-05-20-21-13.00009,标准存储,2025-02-05 23:51:40,945.31MB,
full_record.2025-02-05-20-22-13.00010,标准存储,2025-02-05 23:51:21,957.4MB,
full_record.2025-02-05-20-23-13.00011,标准存储,2025-02-05 23:51:40,911.4MB,
full_record.2025-02-05-20-24-13.00012,标准存储,2025-02-05 23:51:00,958.65MB,
full_record.2025-02-05-20-25-13.00013,标准存储,2025-02-05 23:51:13,965.37MB,
full_record.2025-02-05-20-26-13.00014,标准存储,2025-02-05 23:51:21,978.31MB,
full_record.2025-02-05-20-27-13.00015,标准存储,2025-02-05 23:51:32,1013.61MB,
full_record.2025-02-05-20-28-13.00016,标准存储,2025-02-05 23:50:43,996.76MB,
full_record.2025-02-05-20-29-13.00017,标准存储,2025-02-05 23:50:14,939.33MB,
full_record.2025-02-05-20-30-13.00018,标准存储,2025-02-05 23:50:44,948.97MB,
full_record.2025-02-05-20-31-13.00019,标准存储,2025-02-05 23:51:14,958.74MB,
full_record.2025-02-05-20-32-13.00020,标准存储,2025-02-05 23:51:32,970.91MB,
full_record.2025-02-05-20-33-13.00021,标准存储,2025-02-05 23:51:14,961.82MB,
full_record.2025-02-05-20-34-13.00022,标准存储,2025-02-05 23:50:30,930.94MB,
full_record.2025-02-05-20-35-13.00023,标准存储,2025-02-05 23:51:01,966.09MB,
full_record.2025-02-05-20-36-13.00024,标准存储,2025-02-05 23:51:33,958.97MB,
full_record.2025-02-05-20-37-13.00025,标准存储,2025-02-05 23:51:14,964.26MB,
full_record.2025-02-05-20-38-13.00026,标准存储,2025-02-05 23:50:31,941.78MB,
full_record.2025-02-05-20-39-13.00027,标准存储,2025-02-05 23:51:01,904.1MB,
full_record.2025-02-05-20-40-13.00028,标准存储,2025-02-05 23:51:32,905.51MB,
full_record.2025-02-05-20-41-13.00029,标准存储,2025-02-05 23:50:14,874.83MB,
full_record.2025-02-05-20-42-13.00030,标准存储,2025-02-05 23:50:44,865.79MB,
full_record.2025-02-05-20-43-13.00031,标准存储,2025-02-05 23:50:15,842.65MB,
full_record.2025-02-05-20-44-13.00032,标准存储,2025-02-05 23:51:22,850.12MB,
full_record.2025-02-05-20-45-13.00033,标准存储,2025-02-05 23:51:01,890.8MB,
full_record.2025-02-05-20-46-13.00034,标准存储,2025-02-05 23:50:44,825.11MB,
full_record.2025-02-05-20-47-13.00035,标准存储,2025-02-05 23:50:15,809.43MB,
full_record.2025-02-05-20-48-13.00036,标准存储,2025-02-05 23:51:22,891.06MB,
full_record.2025-02-05-20-49-13.00037,标准存储,2025-02-05 23:51:41,876.13MB,
full_record.2025-02-05-20-50-13.00038,标准存储,2025-02-05 23:51:22,858.27MB,
full_record.2025-02-05-20-51-13.00039,标准存储,2025-02-05 23:51:01,875.02MB,
full_record.2025-02-05-20-52-13.00040,标准存储,2025-02-05 23:50:17,925.26MB,
full_record.2025-02-05-20-53-13.00041,标准存储,2025-02-05 23:50:45,892MB,
full_record.2025-02-05-20-54-13.00042,标准存储,2025-02-05 23:51:41,886.7MB,
full_record.2025-02-05-20-55-13.00043,标准存储,2025-02-05 23:51:23,872.44MB,
full_record.2025-02-05-20-56-13.00044,标准存储,2025-02-05 23:50:16,860.16MB,
full_record.2025-02-05-20-57-13.00045,标准存储,2025-02-05 23:50:46,837.5MB,
full_record.2025-02-05-20-58-13.00046,标准存储,2025-02-05 23:51:41,837.46MB,
full_record.2025-02-05-20-59-13.00047,标准存储,2025-02-05 23:51:24,842.3MB,
full_record.2025-02-05-21-00-13.00048,标准存储,2025-02-05 23:50:46,912.33MB,
full_record.2025-02-05-21-01-13.00049,标准存储,2025-02-05 23:51:13,911.62MB,
full_record.2025-02-05-21-02-13.00050,标准存储,2025-02-05 23:51:32,902.83MB,
full_record.2025-02-05-21-03-13.00051,标准存储,2025-02-05 23:51:13,926.1MB,
full_record.2025-02-05-21-04-13.00052,标准存储,2025-02-05 23:50:33,916.11MB,
full_record.2025-02-05-21-05-13.00053,标准存储,2025-02-05 23:51:42,885.7MB,
full_record.2025-02-05-21-06-13.00054,标准存储,2025-02-05 23:51:31,802.63MB,
full_record.2025-02-05-21-07-13.00055,标准存储,2025-02-05 23:51:14,808MB,
full_record.2025-02-05-21-08-13.00056,标准存储,2025-02-05 23:50:32,850.97MB,
full_record.2025-02-05-21-09-13.00057,标准存储,2025-02-05 23:51:01,847.77MB,
full_record.2025-02-05-21-10-13.00058,标准存储,2025-02-05 23:50:47,894.06MB,
full_record.2025-02-05-21-11-13.00059,标准存储,2025-02-05 23:51:42,891.43MB,
full_record.2025-02-05-21-12-13.00060,标准存储,2025-02-05 23:51:24,864.07MB,
full_record.2025-02-05-21-13-13.00061,标准存储,2025-02-05 23:51:33,923.98MB,
full_record.2025-02-05-21-14-13.00062,标准存储,2025-02-05 23:51:03,916.96MB,
full_record.2025-02-05-21-15-13.00063,标准存储,2025-02-05 23:50:17,918.35MB,
full_record.2025-02-05-21-16-13.00064,标准存储,2025-02-05 23:51:24,884.04MB,
full_record.2025-02-05-21-17-13.00065,标准存储,2025-02-05 23:52:04,891.25MB,
full_record.2025-02-05-21-18-13.00066,标准存储,2025-02-05 23:50:46,852.86MB,
full_record.2025-02-05-21-19-13.00067,标准存储,2025-02-05 23:50:33,908.86MB,
full_record.2025-02-05-21-20-13.00068,标准存储,2025-02-05 23:51:42,807.58MB,
full_record.2025-02-05-21-21-13.00069,标准存储,2025-02-05 23:50:33,776.53MB,
full_record.2025-02-05-21-22-13.00070,标准存储,2025-02-05 23:51:01,788.4MB,
full_record.2025-02-05-21-23-13.00071,标准存储,2025-02-05 23:50:33,722.45MB,
full_record.2025-02-05-21-32-23.00000,标准存储,2025-02-05 23:51:04,940.9MB,
full_record.2025-02-05-21-33-23.00001,标准存储,2025-02-05 23:50:37,1013.03MB,
full_record.2025-02-05-21-34-23.00002,标准存储,2025-02-05 23:51:16,993.91MB,
full_record.2025-02-05-21-35-23.00003,标准存储,2025-02-05 23:51:31,750.28MB,
full_record.2025-02-05-21-37-12.00000,标准存储,2025-02-05 23:51:15,976.43MB,
full_record.2025-02-05-21-38-12.00001,标准存储,2025-02-05 23:50:49,1004.57MB,
full_record.2025-02-05-21-39-12.00002,标准存储,2025-02-05 23:51:06,951.98MB,
full_record.2025-02-05-21-40-12.00003,标准存储,2025-02-05 23:51:15,926.07MB,
full_record.2025-02-05-21-41-12.00004,标准存储,2025-02-05 23:50:13,453.14MB,
